# 	ISO Metric profile			External (bolt thread)					Internal (nut thread)					Basic mm
#							Major Dia d=D	Pitch Dia d2=D2	Minor Dia d3		Minor Dia D1	Pitch Dia d2=D2	Major Dia d=D	
#Size	Designation	Simple Desig.	Pitch	Class	max	min	max	min	max	min	Class	min	max	min	max	min	max	Tap Drill
#1	2		3		4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
50	M50x3	M50x3	3	6g	49.95	49.58	48	47.79	46.704	45.943	6H	46.752	47.252	48.051	48.331	50	50.713	47
50	M50x2	M50x2	2	6g	49.96	49.68	48.66	48.48	47.797	47.251	6H	47.835	48.21	48.701	48.937	50	50.525	48
50	M50x1.5	M50x1.5	1.5	6g	49.97	49.73	48.99	48.83	48.344	47.91	6H	48.376	48.676	49.026	49.238	50	50.428	48.5
52	M52x5	M52	5	6g	51.93	51.4	48.68	48.45	46.516	45.365	6H	46.587	47.297	48.752	49.067	52	53.037	47
52	M52x4	M52x4	4	6g	51.94	51.47	49.34	49.11	47.61	46.642	6H	47.67	48.27	49.402	49.717	52	52.892	48
52	M52x3	M52x3	3	6g	51.95	51.58	50	49.79	48.704	47.943	6H	48.752	49.252	50.051	50.331	52	52.713	49
52	M52x2	M52x2	2	6g	51.96	51.68	50.66	50.48	49.797	49.251	6H	49.835	50.21	50.701	50.937	52	52.525	50
52	M52x1.5	M52x1.5	1.5	6g	51.97	51.73	50.99	50.83	50.344	49.91	6H	50.376	50.676	51.026	51.238	52	52.429	50.5
55	M55x4	M55x4	4	6g	54.94	54.47	52.34	52.11	50.61	49.642	6H	50.67	51.27	52.402	52.717	55	55.892	51
55	M55x3	M55x3	3	6g	54.95	54.58	53	52.79	51.704	50.943	6H	51.752	52.252	53.051	53.331	55	55.713	52
55	M55x2	M55x2	2	6g	54.96	54.68	53.66	53.48	52.797	52.251	6H	52.835	53.21	53.701	53.937	55	55.525	53
55	M55x1.5	M55x1.5	1.5	6g	54.97	54.73	53.99	53.83	53.344	52.91	6H	53.376	53.676	54.026	54.238	55	55.428	53.5
56	M56x5.5	M56	5.5	6g	55.93	55.37	52.35	52.09	49.971	48.7	6H	50.046	50.796	52.428	52.783	56	57.149	50.5
56	M56x4	M56x4	4	6g	55.94	55.47	53.34	53.11	51.61	50.642	6H	51.67	52.27	53.402	53.717	56	56.892	52
56	M56x3	M56x3	3	6g	55.95	55.58	54	53.79	52.704	51.943	6H	52.752	53.252	54.051	54.331	56	56.713	53
56	M56x2	M56x2	2	6g	55.96	55.68	54.66	54.48	53.797	53.251	6H	53.835	54.21	54.701	54.937	56	56.525	54
56	M56x1.5	M56x1.5	1.5	6g	55.97	55.73	54.99	54.83	54.344	53.91	6H	54.376	54.676	55.026	55.238	56	56.429	54.5
56	M56x1	M56x1	1	6g	55.97	55.79	55.32	55.18	54.891	54.568	6H	54.917	55.153	55.35	55.54	56	56.334	55
58	M58x4	M58x4	4	6g	57.94	57.47	55.34	55.11	53.61	52.642	6H	53.67	54.27	55.402	55.717	58	58.892	54
58	M58x3	M58x3	3	6g	57.95	57.58	56	55.79	54.704	53.943	6H	54.752	55.252	56.051	56.331	58	58.713	55
58	M58x2	M58x2	2	6g	57.96	57.68	56.66	56.48	55.797	55.251	6H	55.835	56.21	56.701	56.937	58	58.525	56
58	M58x1.5	M58x1.5	1.5	6g	57.97	57.73	56.99	56.83	56.344	55.91	6H	56.376	56.676	57.026	57.238	58	58.429	56.5
60	M60x5.5	M60	5.5	6g	59.93	59.37	56.35	56.09	53.971	52.7	6H	54.046	54.796	56.428	56.783	60	61.149	54.5
60	M60x4	M60x4	4	6g	59.94	59.47	57.34	57.11	55.61	54.642	6H	55.67	56.27	57.402	57.717	60	60.892	56
60	M60x3	M60x3	3	6g	59.95	59.58	58	57.79	56.704	55.943	6H	56.752	57.252	58.051	58.331	60	60.713	57
60	M60x2	M60x2	2	6g	59.96	59.68	58.66	58.48	57.797	57.251	6H	57.835	58.21	58.701	58.937	60	60.525	58
60	M60x1.5	M60x1.5	1.5	6g	59.97	59.73	58.99	58.83	58.344	57.91	6H	58.376	58.676	59.026	59.238	60	60.428	58.5
60	M60x1	M60x1	1	6g	59.97	59.79	59.32	59.18	58.891	58.568	6H	58.917	59.153	59.35	59.54	60	60.334	59
62	M62x4	M62x4	4	6g	61.94	61.47	59.34	59.11	57.61	56.642	6H	57.67	58.27	59.402	59.717	62	62.892	58
62	M62x3	M62x3	3	6g	61.95	61.58	60	59.79	58.704	57.943	6H	58.752	59.252	60.051	60.331	62	62.713	59
62	M62x2	M62x2	2	6g	61.96	61.68	60.66	60.48	59.797	59.251	6H	59.835	60.21	60.701	60.937	62	62.525	60
62	M62x1.5	M62x1.5	1.5	6g	61.97	61.73	60.99	60.83	60.344	59.91	6H	60.376	60.676	61.026	61.238	62	62.429	60.5
63	M63x1.5	M63x1.5	1.5	6g	62.97	62.73	61.99	61.83	61.344	60.91	6H	61.376	61.676	62.026	62.238	63	63.429	61.5
64	M64x6	M64	6	6g	63.92	63.32	60.02	59.74	57.425	56.047	6H	57.505	58.305	60.103	60.478	64	65.241	58
64	M64x5.5	M64x5.5	5.5	6g	63.93	63.37	60.35	60.09	57.971	56.7	6H	58.046	58.796	60.428	60.783	64	65.149	58.5
64	M64x4	M64x4	4	6g	63.94	63.47	61.34	61.11	59.61	58.642	6H	59.67	60.27	61.402	61.717	64	64.892	60
64	M64x3	M64x3	3	6g	63.95	63.58	62	61.79	60.704	59.943	6H	60.752	61.252	62.051	62.331	64	64.713	61
64	M64x2	M64x2	2	6g	63.96	63.68	62.66	62.48	61.797	61.251	6H	61.835	62.21	62.701	62.937	64	64.525	62
64	M64x1.5	M64x1.5	1.5	6g	63.97	63.73	62.99	62.83	62.344	61.91	6H	62.376	62.676	63.026	63.238	64	64.429	62.5
64	M64x1	M64x1	1	6g	63.97	63.79	63.32	63.18	62.891	62.568	6H	62.917	63.153	63.35	63.54	64	64.334	63
65	M65x4	M65x4	4	6g	64.94	64.47	62.34	62.11	60.61	59.642	6H	60.67	61.27	62.402	62.717	65	65.892	61
65	M65x3	M65x3	3	6g	64.95	64.58	63	62.79	61.704	60.943	6H	61.752	62.252	63.051	63.331	65	65.713	62
65	M65x2	M65x2	2	6g	64.96	64.68	63.66	63.48	62.797	62.251	6H	62.835	63.21	63.701	63.937	65	65.525	63
65	M65x1.5	M65x1.5	1.5	6g	64.97	64.73	63.99	63.83	63.344	62.91	6H	63.376	63.676	64.026	64.238	65	65.428	63.5
68	M68x6	M68x6	6	6g	67.92	67.32	64.02	63.74	61.425	60.047	6H	61.505	62.305	64.103	64.478	68	69.241	62
68	M68x4	M68x4	4	6g	67.94	67.47	65.34	65.11	63.61	62.642	6H	63.67	64.27	65.402	65.717	68	68.892	64
68	M68x3	M68x3	3	6g	67.95	67.58	66	65.79	64.704	63.943	6H	64.752	65.252	66.051	66.331	68	68.713	65
68	M68x2	M68x2	2	6g	67.96	67.68	66.66	66.48	65.797	65.251	6H	65.835	66.21	66.701	66.937	68	68.525	66
68	M68x1.5	M68x1.5	1.5	6g	67.97	67.73	66.99	66.83	66.344	65.91	6H	66.376	66.676	67.026	67.238	68	68.429	66.5
68	M68x1	M68x1	1	6g	67.97	67.79	67.32	67.18	66.891	66.568	6H	66.917	67.153	67.35	67.54	68	68.334	67
70	M70x6	M70x6	6	6g	69.92	69.32	66.02	65.74	63.425	62.047	6H	63.505	64.305	66.103	66.478	70	71.241	64
70	M70x4	M70x4	4	6g	69.94	69.47	67.34	67.11	65.61	64.642	6H	65.67	66.27	67.402	67.717	70	70.892	66
70	M70x3	M70x3	3	6g	69.95	69.58	68	67.79	66.704	65.943	6H	66.752	67.252	68.051	68.331	70	70.713	67
70	M70x2	M70x2	2	6g	69.96	69.68	68.66	68.48	67.797	67.251	6H	67.835	68.21	68.701	68.937	70	70.525	68
70	M70x1.5	M70x1.5	1.5	6g	69.97	69.73	68.99	68.83	68.344	67.91	6H	68.376	68.676	69.026	69.238	70	70.428	68.5
72	M72x6	M72x6	6	6g	71.92	71.32	68.02	67.74	65.425	64.047	6H	65.505	66.305	68.103	68.478	72	73.241	66
72	M72x4	M72x4	4	6g	71.94	71.47	69.34	69.11	67.61	66.642	6H	67.67	68.27	69.402	69.717	72	72.892	68
72	M72x3	M72x3	3	6g	71.95	71.58	70	69.79	68.704	67.943	6H	68.752	69.252	70.051	70.331	72	72.713	69
72	M72x2	M72x2	2	6g	71.96	71.68	70.66	70.48	69.797	69.251	6H	69.835	70.21	70.701	70.937	72	72.525	70
72	M72x1.5	M72x1.5	1.5	6g	71.97	71.73	70.99	70.83	70.344	69.91	6H	70.376	70.676	71.026	71.238	72	72.429	70.5
72	M72x1	M72x1	1	6g	71.97	71.79	71.32	71.18	70.891	70.568	6H	70.917	71.153	71.35	71.54	72	72.334	71
75	M75x6	M75x6	6	6g	74.92	74.32	71.02	70.74	68.425	67.047	6H	68.505	69.305	71.103	71.478	75	76.241	69
75	M75x4	M75x4	4	6g	74.94	74.47	72.34	72.11	70.61	69.642	6H	70.67	71.27	72.402	72.717	75	75.892	71
75	M75x3	M75x3	3	6g	74.95	74.58	73	72.79	71.704	70.943	6H	71.752	72.252	73.051	73.331	75	75.713	72
75	M75x2	M75x2	2	6g	74.96	74.68	73.66	73.48	72.797	72.251	6H	72.835	73.21	73.701	73.937	75	75.525	73
75	M75x1.5	M75x1.5	1.5	6g	74.97	74.73	73.99	73.83	73.344	72.91	6H	73.376	73.676	74.026	74.238	75	75.428	73.5
76	M76x6	M76x6	6	6g	75.92	75.32	72.02	71.74	69.425	68.047	6H	69.505	70.305	72.103	72.478	76	77.241	70
76	M76x4	M76x4	4	6g	75.94	75.47	73.34	73.11	71.61	70.642	6H	71.67	72.27	73.402	73.717	76	76.892	72
76	M76x3	M76x3	3	6g	75.95	75.58	74	73.79	72.704	71.943	6H	72.752	73.252	74.051	74.331	76	76.713	73
76	M76x2	M76x2	2	6g	75.96	75.68	74.66	74.48	73.797	73.251	6H	73.835	74.21	74.701	74.937	76	76.525	74
76	M76x1.5	M76x1.5	1.5	6g	75.97	75.73	74.99	74.83	74.344	73.91	6H	74.376	74.676	75.026	75.238	76	76.429	74.5
76	M76x1	M76x1	1	6g	75.97	75.79	75.32	75.18	74.891	74.568	6H	74.917	75.153	75.35	75.54	76	76.334	75
78	M78x2	M78x2	2	6g	77.96	77.68	76.66	76.48	75.797	75.251	6H	75.835	76.21	76.701	76.937	78	78.525	76
80	M80x6	M80x6	6	6g	79.92	79.32	76.02	75.74	73.425	72.047	6H	73.505	74.305	76.103	76.478	80	81.241	74
80	M80x4	M80x4	4	6g	79.94	79.34	77.34	77.11	75.61	74.642	6H	75.67	76.27	77.402	77.717	80	80.892	76
80	M80x3	M80x3	3	6g	79.95	79.58	78	77.79	76.704	75.943	6H	76.752	77.252	78.051	78.331	80	80.713	77
80	M80x2	M80x2	2	6g	79.96	79.68	78.66	78.48	77.797	77.251	6H	77.835	78.21	78.701	78.937	80	80.525	78
80	M80x1.5	M80x1.5	1.5	6g	79.97	79.73	78.99	78.83	78.344	77.91	6H	78.376	78.676	79.026	79.238	80	80.428	78.5
80	M80x1	M80x1	1	6g	79.97	79.79	79.32	79.18	78.891	78.568	6H	78.917	79.153	79.35	79.54	80	80.334	79
82	M82x2	M82x2	2	6g	81.96	81.68	80.66	80.48	79.797	79.251	6H	79.835	80.21	80.701	80.937	82	82.525	80
85	M85x6	M85x6	6	6g	84.92	84.32	81.02	80.74	78.425	77.047	6H	78.505	79.305	81.103	81.478	85	86.241	79
85	M85x4	M85x4	4	6g	84.94	84.47	82.34	82.11	80.61	79.642	6H	80.67	81.27	82.402	82.717	85	85.892	81
85	M85x3	M85x3	3	6g	84.95	84.58	83	82.79	81.704	80.943	6H	81.752	82.252	83.051	83.331	85	85.713	82
85	M85x2	M85x2	2	6g	84.96	84.68	83.66	83.48	82.797	82.251	6H	82.835	83.21	83.701	83.937	85	85.525	83
85	M85x1.5	M85x1.5	1.5	6g	84.97	84.73	83.99	83.83	83.344	82.91	6H	83.376	83.676	84.026	84.238	85	85.429	83.5
90	M90x6	M90x6	6	6g	89.92	89.32	86.02	85.74	83.425	82.047	6H	83.505	84.305	86.103	86.478	90	91.241	84
90	M90x4	M90x4	4	6g	89.94	89.47	87.34	87.11	85.61	84.642	6H	85.67	86.27	87.402	87.717	90	90.892	86
90	M90x3	M90x3	3	6g	89.95	89.58	88	87.79	86.704	85.943	6H	86.752	87.252	88.051	88.331	90	90.713	87
90	M90x2	M90x2	2	6g	89.96	89.68	88.66	88.48	87.797	87.251	6H	87.835	88.21	88.701	88.937	90	90.525	88
90	M90x1.5	M90x1.5	1.5	6g	89.97	89.73	88.99	88.83	88.344	87.91	6H	88.376	88.676	89.026	89.238	90	90.429	88.5
95	M95x6	M95x6	6	6g	94.92	94.32	91.02	90.72	88.425	87.027	6H	88.505	89.305	91.103	91.503	95	96.266	89
95	M95x4	M95x4	4	6g	94.94	94.47	92.34	92.09	90.61	89.628	6H	90.67	91.27	92.402	92.737	95	95.912	91
95	M95x3	M95x3	3	6g	94.95	94.58	93	92.78	91.704	90.931	6H	91.752	92.252	93.051	93.351	95	95.733	92
95	M95x2	M95x2	2	6g	94.96	94.68	93.66	93.47	92.797	92.241	6H	92.835	93.21	93.701	93.951	95	95.539	93
95	M95x1.5	M95x1.5	1.5	6g	94.97	94.73	93.99	93.81	93.344	92.89	6H	93.376	93.676	94.026	94.262	95	95.453	93.5
100	M100x6	M100x6	6	6g	99.92	99.32	96.02	95.72	93.425	92.027	6H	93.505	94.305	96.103	96.503	100	101.27	94
100	M100x4	M100x4	4	6g	99.94	99.47	97.34	97.09	95.61	94.628	6H	95.67	96.27	97.402	97.737	100	100.91	96
100	M100x3	M100x3	3	6g	99.95	99.58	98	97.78	96.704	95.931	6H	96.752	97.252	98.051	98.351	100	100.73	97
100	M100x2	M100x2	2	6g	99.96	99.68	98.66	98.47	97.797	97.241	6H	97.835	98.21	98.701	98.951	100	100.54	98
100	M100x1.5	M100x1.5	1.5	6g	99.97	99.73	98.99	98.81	98.344	97.89	6H	98.376	98.676	99.026	99.262	100	100.45	98.5
105	M105x6	M105x6	6	6g	104.9	104.3	101	100.7	98.425	97.027	6H	98.505	99.305	101.1	101.5	105	106.27	99
105	M105x4	M105x4	4	6g	104.9	104.5	102.3	102.1	100.61	99.628	6H	100.67	101.27	102.4	102.74	105	105.91	101
105	M105x3	M105x3	3	6g	105	104.6	103	102.8	101.7	100.93	6H	101.75	102.25	103.05	103.35	105	105.73	102
105	M105x2	M105x2	2	6g	105	104.7	103.7	103.5	102.8	102.24	6H	102.84	103.21	103.7	103.95	105	105.54	103
105	M105x1.5	M105x1.5	1.5	6g	105	104.7	104	103.8	103.34	102.89	6H	103.38	103.68	104.03	104.26	105	105.45	103.5
110	M110x6	M110x6	6	6g	109.9	109.3	106	105.7	103.43	102.03	6H	103.51	104.31	106.1	106.5	110	111.27	104
110	M110x4	M110x4	4	6g	109.9	109.5	107.3	107.1	105.61	104.63	6H	105.67	106.27	107.4	107.74	110	110.91	106
110	M110x3	M110x3	3	6g	110	109.6	108	107.8	106.7	105.93	6H	106.75	107.25	108.05	108.35	110	110.73	107
110	M110x2	M110x2	2	6g	110	109.7	108.7	108.5	107.8	107.24	6H	107.84	108.21	108.7	108.95	110	110.54	108
110	M110x1.5	M110x1.5	1.5	6g	110	109.7	109	108.8	108.34	107.89	6H	108.38	108.68	109.03	109.26	110	110.45	108.5
115	M115x6	M115x6	6	6g	114.9	114.3	111	110.7	108.43	107.03	6H	108.51	109.31	111.1	111.5	115	116.27	109
115	M115x4	M115x4	4	6g	114.9	114.5	112.3	112.1	110.61	109.63	6H	110.67	111.27	112.4	112.74	115	115.91	111
115	M115x3	M115x3	3	6g	115	114.6	113	112.8	111.7	110.93	6H	111.75	112.25	113.05	113.35	115	115.73	112
115	M115x2	M115x2	2	6g	115	114.7	113.7	113.5	112.8	112.24	6H	112.84	113.21	113.7	113.95	115	115.54	113
115	M115x1.5	M115x1.5	1.5	6g	115	114.7	114	113.8	113.34	112.89	6H	113.38	113.68	114.03	114.26	115	115.45	113.5
120	M120x6	M120x6	6	6g	119.9	119.3	116	115.7	113.43	112.03	6H	113.51	114.31	116.1	116.5	120	121.27	114
120	M120x4	M120x4	4	6g	119.9	119.5	117.3	117.1	115.61	114.63	6H	115.67	116.27	117.4	117.74	120	120.91	116
120	M120x3	M120x3	3	6g	120	119.6	118	117.8	116.7	115.93	6H	116.75	117.25	118.05	118.35	120	120.73	117
120	M120x2	M120x2	2	6g	120	119.7	118.7	118.5	117.8	117.24	6H	117.84	118.21	118.7	118.95	120	120.54	118
120	M120x1.5	M120x1.5	1.5	6g	120	119.7	119	118.8	118.34	117.89	6H	118.38	118.68	119.03	119.26	120	120.45	118.5
125	M125x8	M125x8	8	6g	124.9	124.2	119.7	119.4	116.24	114.44	6H	116.34	117.34	119.8	120.25	125	126.61	117
125	M125x6	M125x6	6	6g	124.9	124.3	121	120.7	118.43	117.03	6H	118.51	119.31	121.1	121.5	125	126.27	119
125	M125x4	M125x4	4	6g	124.9	124.5	122.3	122.1	120.61	119.63	6H	120.67	121.27	122.4	122.74	125	125.91	121
125	M125x3	M125x3	3	6g	125	124.6	123	122.8	121.7	120.93	6H	121.75	122.25	123.05	123.35	125	125.73	122
125	M125x2	M125x2	2	6g	125	124.7	123.7	123.5	122.8	122.24	6H	122.84	123.21	123.7	123.95	125	125.54	123
125	M125x1.5	M125x1.5	1.5	6g	125	124.7	124	123.8	123.34	122.89	6H	123.38	123.68	124.03	124.26	125	125.45	123.5
130	M130x8	M130x8	8	6g	129.9	129.2	124.7	124.4	121.24	119.44	6H	121.34	122.34	124.8	125.25	130	131.61	122
130	M130x6	M130x6	6	6g	129.9	129.3	126	125.7	123.43	122.03	6H	123.51	124.31	126.1	126.5	130	131.27	124
130	M130x4	M130x4	4	6g	129.9	129.5	127.3	127.1	125.61	124.63	6H	125.67	126.27	127.4	127.74	130	130.91	126
130	M130x3	M130x3	3	6g	130	129.6	128	127.8	126.7	125.93	6H	126.75	127.25	128.05	128.35	130	130.73	127
130	M130x2	M130x2	2	6g	130	129.7	128.7	128.5	127.8	127.24	6H	127.84	128.21	128.7	128.95	130	130.54	128
130	M130x1.5	M130x1.5	1.5	6g	130	129.7	129	128.8	128.34	127.89	6H	128.38	128.68	129.03	129.26	130	130.45	128.5
135	M135x6	M135x6	6	6g	134.9	134.3	131	130.7	128.43	127.03	6H	128.51	129.31	131.1	131.5	135	136.27	129
135	M135x4	M135x4	4	6g	134.9	134.5	132.3	132.1	130.61	129.63	6H	130.67	131.27	132.4	132.74	135	135.91	131
135	M135x3	M135x3	3	6g	135	134.6	133	132.8	131.7	130.93	6H	131.75	132.25	133.05	133.35	135	135.73	132
135	M135x2	M135x2	2	6g	135	134.7	133.7	133.5	132.8	132.24	6H	132.84	133.21	133.7	133.95	135	135.54	133
135	M135x1.5	M135x1.5	1.5	6g	135	134.7	134	133.8	133.34	132.89	6H	133.38	133.68	134.03	134.26	135	135.45	133.5
140	M140x8	M140x8	8	6g	139.9	139.2	134.7	134.4	131.24	129.44	6H	131.34	132.34	134.8	135.25	140	141.61	132
140	M140x6	M140x6	6	6g	139.9	139.3	136	135.7	133.43	132.03	6H	133.51	134.31	136.1	136.5	140	141.27	134
140	M140x4	M140x4	4	6g	139.9	139.5	137.3	137.1	135.61	134.63	6H	135.67	136.27	137.4	137.74	140	140.91	136
140	M140x3	M140x3	3	6g	140	139.6	138	137.8	136.7	135.93	6H	136.75	137.25	138.05	138.35	140	140.73	137
140	M140x2	M140x2	2	6g	140	139.7	138.7	138.5	137.8	137.24	6H	137.84	138.21	138.7	138.95	140	140.54	138
140	M140x1.5	M140x1.5	1.5	6g	140	139.7	139	138.8	138.34	137.89	6H	138.38	138.68	139.03	139.26	140	140.45	138.5
145	M145x6	M145x6	6	6g	144.9	144.3	141	140.7	138.43	137.03	6H	138.51	139.31	141.1	141.5	145	146.27	139
145	M145x4	M145x4	4	6g	144.9	144.5	142.3	142.1	140.61	139.63	6H	140.67	141.27	142.4	142.74	145	145.91	141
145	M145x3	M145x3	3	6g	145	144.6	143	142.8	141.7	140.93	6H	141.75	142.25	143.05	143.35	145	145.73	142
145	M145x2	M145x2	2	6g	145	144.7	143.7	143.5	142.8	142.24	6H	142.84	143.21	143.7	143.95	145	145.54	143
145	M145x1.5	M145x1.5	1.5	6g	145	144.7	144	143.8	143.34	142.89	6H	143.38	143.68	144.03	144.26	145	145.45	143.5
150	M150x8	M150x8	8	6g	149.9	149.2	144.7	144.4	141.24	139.44	6H	141.34	142.34	144.8	145.25	150	151.61	142
150	M150x6	M150x6	6	6g	149.9	149.3	146	145.7	143.43	142.03	6H	143.51	144.31	146.1	146.5	150	151.27	144
150	M150x4	M150x4	4	6g	149.9	149.5	147.3	147.1	145.61	144.63	6H	145.67	146.27	147.4	147.74	150	150.91	146
150	M150x3	M150x3	3	6g	150	149.6	148	147.8	146.7	145.93	6H	146.75	147.25	148.05	148.35	150	150.73	147
150	M150x2	M150x2	2	6g	150	149.7	148.7	148.5	147.8	147.24	6H	147.84	148.21	148.7	148.95	150	150.54	148
150	M150x1.5	M150x1.5	1.5	6g	150	149.7	149	148.8	148.34	147.89	6H	148.38	148.68	149.03	149.26	150	150.45	148.5
155	M155x6	M155x6	6	6g	154.9	154.3	151	150.7	148.43	147.03	6H	148.51	149.31	151.1	151.5	155	156.27	149
155	M155x4	M155x4	4	6g	154.9	154.5	152.3	152.1	150.61	149.63	6H	150.67	151.27	152.4	152.74	155	155.91	151
155	M155x3	M155x3	3	6g	155	154.6	153	152.8	151.7	150.93	6H	151.75	152.25	153.05	153.35	155	155.73	152
155	M155x2	M155x2	2	6g	155	154.7	153.7	153.5	152.8	152.24	6H	152.84	153.21	153.7	153.95	155	155.54	153
160	M160x8	M160x8	8	6g	159.9	159.2	154.7	154.4	151.24	149.44	6H	151.34	152.34	154.8	155.25	160	161.61	152
160	M160x6	M160x6	6	6g	159.9	159.3	156	155.7	153.43	152.03	6H	153.51	154.31	156.1	156.5	160	161.27	154
160	M160x4	M160x4	4	6g	159.9	159.5	157.3	157.1	155.61	154.63	6H	155.67	156.27	157.4	157.74	160	160.91	156
160	M160x3	M160x3	3	6g	160	159.6	158	157.8	156.7	155.93	6H	156.75	157.25	158.05	158.35	160	160.73	157
160	M160x2	M160x2	2	6g	160	159.7	158.7	158.5	157.8	157.24	6H	157.84	158.21	158.7	158.95	160	160.54	158
165	M165x6	M165x6	6	6g	164.9	164.3	161	160.7	158.43	157.03	6H	158.51	159.31	161.1	161.5	165	166.27	159
165	M165x4	M165x4	4	6g	164.9	164.5	162.3	162.1	160.61	159.63	6H	160.67	161.27	162.4	162.74	165	165.91	161
165	M165x3	M165x3	3	6g	165	164.6	163	162.8	161.7	160.93	6H	161.75	162.25	163.05	163.35	165	165.73	162
165	M165x2	M165x2	2	6g	165	164.7	163.7	163.5	162.8	162.24	6H	162.84	163.21	163.7	163.95	165	165.54	163
170	M170x8	M170x8	8	6g	169.9	169.2	164.7	164.4	161.24	159.44	6H	161.34	162.34	164.8	165.25	170	171.61	162
170	M170x6	M170x6	6	6g	169.9	169.3	166	165.7	163.43	162.03	6H	163.51	164.31	166.1	166.5	170	171.27	164
170	M170x4	M170x4	4	6g	169.9	169.5	167.3	167.1	165.61	164.63	6H	165.67	166.27	167.4	167.74	170	170.91	166
170	M170x3	M170x3	3	6g	170	169.6	168	167.8	166.7	165.93	6H	166.75	167.25	168.05	168.35	170	170.73	167
170	M170x2	M170x2	2	6g	170	169.7	168.7	168.5	167.8	167.24	6H	167.84	168.21	168.7	168.95	170	170.54	168
175	M175x6	M175x6	6	6g	174.9	174.3	171	170.7	168.43	167.03	6H	168.51	169.31	171.1	171.5	175	176.27	169
175	M175x4	M175x4	4	6g	174.9	174.5	172.3	172.1	170.61	169.63	6H	170.67	171.27	172.4	172.74	175	175.91	171
175	M175x3	M175x3	3	6g	175	174.6	173	172.8	171.7	170.93	6H	171.75	172.25	173.05	173.35	175	175.73	172
175	M175x2	M175x2	2	6g	175	174.7	173.7	173.5	172.8	172.24	6H	172.84	173.21	173.7	173.95	175	175.54	173
180	M180x8	M180x8	8	6g	179.9	179.2	174.7	174.4	171.24	169.44	6H	171.34	172.34	174.8	175.25	180	181.61	172
180	M180x6	M180x6	6	6g	179.9	179.3	176	175.7	173.43	172.03	6H	173.51	174.31	176.1	176.5	180	181.27	174
180	M180x4	M180x4	4	6g	179.9	179.5	177.3	177.1	175.61	174.63	6H	175.67	176.27	177.4	177.74	180	180.91	176
180	M180x3	M180x3	3	6g	180	179.6	178	177.8	176.7	175.93	6H	176.75	177.25	178.05	178.35	180	180.73	177
180	M180x2	M180x2	2	6g	180	179.7	178.7	178.5	177.8	177.24	6H	177.84	178.21	178.7	178.95	180	180.54	178
185	M185x6	M185x6	6	6g	184.9	184.3	181	180.7	178.43	177.01	6H	178.51	179.31	181.1	181.53	185	186.29	179
185	M185x4	M185x4	4	6g	184.9	184.5	182.3	182.1	180.61	179.6	6H	180.67	181.27	182.4	182.78	185	185.95	181
185	M185x3	M185x3	3	6g	185	184.6	183	182.8	181.7	180.91	6H	181.75	182.25	183.05	183.39	185	185.77	182
185	M185x2	M185x2	2	6g	185	184.7	183.7	183.5	182.8	182.22	6H	182.84	183.21	183.7	183.98	185	185.57	183
190	M190x8	M190x8	8	6g	189.9	189.2	184.7	184.3	181.24	179.42	6H	181.34	182.34	184.8	185.28	190	191.63	182
190	M190x6	M190x6	6	6g	189.9	189.3	186	185.7	183.43	182.01	6H	183.51	184.31	186.1	186.53	190	191.29	184
190	M190x4	M190x4	4	6g	189.9	189.5	187.3	187.1	185.61	184.6	6H	185.67	186.27	187.4	187.78	190	190.95	186
190	M190x3	M190x3	3	6g	190	189.6	188	187.8	186.7	185.91	6H	186.75	187.25	188.05	188.39	190	190.77	187
190	M190x2	M190x2	2	6g	190	189.7	188.7	188.5	187.8	187.22	6H	187.84	188.21	188.7	188.98	190	190.57	188
195	M195x6	M195x6	6	6g	194.9	194.3	191	190.7	188.43	187.01	6H	188.51	189.31	191.1	191.53	195	196.29	189
195	M195x4	M195x4	4	6g	194.9	194.5	192.3	192.1	190.61	189.6	6H	190.67	191.27	192.4	192.78	195	195.95	191
195	M195x3	M195x3	3	6g	195	194.6	193	192.8	191.7	190.91	6H	191.75	192.25	193.05	193.39	195	195.77	192
195	M195x2	M195x2	2	6g	195	194.7	193.7	193.5	192.8	192.22	6H	192.84	193.21	193.7	193.98	195	195.57	193
200	M200x8	M200x8	8	6g	199.9	199.2	194.7	194.3	191.24	189.42	6H	191.34	192.34	194.8	195.28	200	201.63	192
200	M200x6	M200x6	6	6g	199.9	199.3	196	195.7	193.43	192.01	6H	193.51	194.31	196.1	196.53	200	201.29	194
200	M200x4	M200x4	4	6g	199.9	199.5	197.3	197.1	195.61	194.6	6H	195.67	196.27	197.4	197.78	200	200.95	196
200	M200x3	M200x3	3	6g	200	199.6	198	197.8	196.7	195.91	6H	196.75	197.25	198.05	198.39	200	200.77	197
200	M200x2	M200x2	2	6g	200	199.7	198.7	198.5	197.8	197.22	6H	197.84	198.21	198.7	198.98	200	200.57	198
205	M205x6	M205x6	6	6g	204.9	204.3	201	200.7	198.43	197.01	6H	198.51	199.31	201.1	201.53	205	206.29	199
205	M205x4	M205x4	4	6g	204.9	204.5	202.3	202.1	200.61	199.6	6H	200.67	201.27	202.4	202.78	205	205.95	201
205	M205x3	M205x3	3	6g	205	204.6	203	202.8	201.7	200.91	6H	201.75	202.25	203.05	203.39	205	205.77	202
