#			External									Internal
#				Major Dia		Pitch Dia		Minor Dia				Minor Dia		Pitch Dia		Major Dia
#Size mm	Thread Designation	Pitch mm	Class	Max	Min	Max	Min	Max	Min	 	Class	Min	Max	Min	Max	Min
# Source: https://web.archive.org/web/20200311203631/http://mdmetric.com:80/tech/thddat16.htm

360	TR360x28	28	7e	360	358.94	345.75	344.95	330	328.75	 	7H	332	333.5	346	347.12	362
360	TR360x44	44	7e	360	358.6	337.685	336.735	314	312.498	 	7H	316	318	338	339.4	362
365	TR365x5	5	7e	365	364.665	362.394	361.994	359.5	358.894	 	7H	360	360.45	362.5	363.06	365.5
370	TR370x5	5	7e	370	369.665	367.394	366.994	364.5	363.894	 	7H	365	365.45	367.5	368.06	370.5
375	TR375x5	5	7e	375	374.665	372.394	371.994	369.5	368.894	 	7H	370	370.45	372.5	373.06	375.5
380	TR380x5	5	7e	380	379.665	377.394	376.994	374.5	373.894	 	7H	375	375.45	377.5	378.06	380.5
380	TR380x12	12	7e	380	379.4	373.83	373.27	367	366.13	 	7H	368	368.8	374	374.8	381
380	TR380x24	24	7e	380	379.05	367.764	367.014	354	352.827	 	7H	356	357.32	368	369	382
380	TR380x28	28	7e	380	378.94	365.75	364.95	350	348.75	 	7H	352	353.5	366	367.12	382
380	TR380x32	32	7e	380	378.88	363.735	362.885	346	344.673	 	7H	348	349.6	364	365.2	382
380	TR380x44	44	7e	380	378.6	357.685	356.735	334	332.498	 	7H	336	338	358	359.4	382
385	TR385x5	5	7e	385	384.665	382.394	381.994	379.5	378.894	 	7H	380	380.45	382.5	383.06	385.5
395	TR395x5	5	7e	395	394.665	392.394	391.994	389.5	388.894	 	7H	390	390.45	392.5	393.06	395.5
400	TR400x5	5	7e	400	399.665	397.394	396.994	394.5	393.894	 	7H	395	395.45	397.5	398.06	400.5
400	TR400x12	12	7e	400	399.4	393.83	393.27	387	386.13	 	7H	388	388.8	394	394.8	401
400	TR400x24	24	7e	400	399.05	387.764	387.014	374	372.827	 	7H	376	377.32	388	389	402
400	TR400x28	28	7e	400	398.94	385.75	384.95	370	368.75	 	7H	372	373.5	386	387.12	402
400	TR400x32	32	7e	400	398.88	383.735	382.885	366	364.673	 	7H	368	369.6	384	385.2	402
400	TR400x44	44	7e	400	398.6	377.685	376.735	354	352.498	 	7H	356	358	378	379.4	402
410	TR410x5	5	7e	410	409.665	407.394	406.994	404.5	403.894	 	7H	405	405.45	407.5	408.06	410.5
415	TR415x5	5	7e	415	414.665	412.394	411.994	409.5	408.894	 	7H	410	410.45	412.5	413.06	415.5
420	TR420x5	5	7e	420	419.665	417.394	416.994	414.5	413.894	 	7H	415	415.45	417.5	418.06	420.5
420	TR420x12	12	7e	420	419.4	413.83	413.27	407	406.13	 	7H	408	408.8	414	414.8	421
420	TR420x24	24	7e	420	419.05	407.764	407.014	394	392.827	 	7H	396	397.32	408	409	422
420	TR420x32	32	7e	420	418.88	403.735	402.885	386	384.673	 	7H	388	389.6	404	405.2	422
420	TR420x44	44	7e	420	418.6	397.685	396.735	374	372.498	 	7H	376	378	398	399.4	422
430	TR430x5	5	7e	430	429.665	427.394	426.994	424.5	423.894	 	7H	425	425.45	427.5	428.06	430.5
435	TR435x5	5	7e	435	434.665	432.394	431.994	429.5	428.894	 	7H	430	430.45	432.5	433.06	435.5
440	TR440x5	5	7e	440	439.665	437.394	436.994	434.5	433.894	 	7H	435	435.45	437.5	438.06	440.5
440	TR440x12	12	7e	440	439.4	433.83	433.27	427	426.13	 	7H	428	428.8	434	434.8	441
440	TR440x24	24	7e	440	439.05	427.764	427.014	414	412.827	 	7H	416	417.32	428	429	442
440	TR440x32	32	7e	440	438.88	423.735	422.885	406	404.673	 	7H	408	409.6	424	425.2	442
440	TR440x36	36	7e	440	438.75	421.72	420.82	402	400.595	 	7H	404	405.8	422	423.25	442
440	TR440x44	44	7e	440	438.6	417.685	416.735	394	392.498	 	7H	396	398	418	419.4	442
450	TR450x5	5	7e	450	449.665	447.394	446.994	444.5	443.894	 	7H	445	445.45	447.5	448.06	450.5
460	TR460x5	5	7e	460	459.665	457.394	456.994	454.5	453.894	 	7H	455	455.45	457.5	458.06	460.5
460	TR460x12	12	7e	460	459.4	453.83	453.27	447	446.13	 	7H	448	448.8	454	454.8	461
460	TR460x24	24	7e	460	459.05	447.764	447.014	434	432.827	 	7H	436	437.32	448	449	462
460	TR460x32	32	7e	460	458.88	443.735	442.885	426	424.673	 	7H	428	429.6	444	445.2	462
460	TR460x36	36	7e	460	458.75	441.72	440.82	422	420.595	 	7H	424	425.8	442	443.25	462
460	TR460x44	44	7e	460	458.6	437.685	436.735	414	412.498	 	7H	416	418	438	439.4	462
470	TR470x5	5	7e	470	469.665	467.394	466.994	464.5	463.894	 	7H	465	465.45	467.5	468.06	470.5
480	TR480x5	5	7e	480	479.665	477.394	476.994	474.5	473.894	 	7H	475	475.45	477.5	478.06	480.5
480	TR480x12	12	7e	480	479.4	473.83	473.27	467	466.13	 	7H	468	468.8	474	474.8	481
480	TR480x24	24	7e	480	479.05	467.764	467.014	454	452.827	 	7H	456	457.32	468	469	482
480	TR480x36	36	7e	480	478.75	461.72	460.82	442	440.595	 	7H	444	445.8	462	463.25	482
480	TR480x44	44	7e	480	478.6	457.685	456.735	434	432.498	 	7H	436	438	458	459.4	482
490	TR490x5	5	7e	490	489.665	487.394	486.994	484.5	483.894	 	7H	485	485.45	487.5	488.06	490.5
500	TR500x5	5	7e	500	499.665	497.394	496.994	494.5	493.894	 	7H	495	495.45	497.5	498.06	500.5
500	TR500x12	12	7e	500	499.4	493.83	493.27	487	486.13	 	7H	488	488.8	494	494.8	501
500	TR500x24	24	7e	500	499.05	487.764	487.014	474	472.827	 	7H	476	477.32	488	489	502
500	TR500x36	36	7e	500	498.75	481.72	480.82	462	460.595	 	7H	464	465.8	482	483.25	502
500	TR500x40	40	7e	500	498.68	479.7	478.8	458	456.575	 	7H	460	461.9	480	481.25	502
500	TR500x44	44	7e	500	498.6	477.685	476.735	454	452.498	 	7H	456	458	478	479.4	502
510	TR510x6	6	7e	510	509.625	506.882	506.482	503	502.394	 	7H	504	504.5	507	507.56	511
520	TR520x6	6	7e	520	519.625	516.882	516.482	513	512.394	 	7H	514	514.5	517	517.56	521
530	TR530x5	5	7e	530	529.665	527.394	526.994	524.5	523.894	 	7H	525	525.45	527.5	528.06	530.5
530	TR530x6	6	7e	530	529.625	526.882	526.482	523	522.394	 	7H	524	524.5	527	527.56	531
530	TR530x12	12	7e	530	529.4	523.83	523.27	517	516.13	 	7H	518	518.8	524	524.8	531
530	TR530x24	24	7e	530	529.05	517.764	517.014	504	502.827	 	7H	506	507.32	518	519	532
530	TR530x40	40	7e	530	528.68	509.7	508.8	488	486.575	 	7H	490	491.9	510	511.25	532
530	TR530x44	44	7e	530	528.6	507.685	506.735	484	482.498	 	7H	486	488	508	509.4	532
540	TR540x6	6	7e	540	539.625	536.882	536.482	533	532.394	 	7H	534	534.5	537	537.56	541
550	TR550x6	6	7e	550	549.625	546.882	546.482	543	542.394	 	7H	544	544.5	547	547.56	551
560	TR560x5	5	7e	560	559.665	557.394	556.994	554.5	553.894	 	7H	555	555.45	557.5	558.06	560.5
560	TR560x12	12	7e	560	559.4	553.83	553.27	547	546.13	 	7H	548	548.8	554	554.8	561
560	TR560x24	24	7e	560	559.05	547.764	547.014	534	532.827	 	7H	536	537.32	548	549	562
560	TR560x40	40	7e	560	558.68	539.7	538.8	518	516.575	 	7H	520	521.9	540	541.25	562
560	TR560x44	44	7e	560	558.6	537.685	536.735	514	512.498	 	7H	516	518	538	539.4	562
560	TR560x45	45	7e	560	558.6	537.185	536.235	513	511.497	 	7H	515	517	537.5	538.9	562
600	TR600x6	6	7e	600	599.625	596.882	596.457	593	592.351	 	7H	594	594.5	597	597.6	601
600	TR600x12	12	7e	600	599.4	593.83	593.27	587	586.13	 	7H	588	588.8	594	594.8	601
600	TR600x24	24	7e	600	599.05	587.764	587.014	574	572.827	 	7H	576	577.32	588	589	602
600	TR600x40	40	7e	600	598.68	579.7	578.8	558	556.575	 	7H	560	561.9	580	581.25	602
600	TR600x44	44	7e	600	598.6	577.685	576.735	554	552.498	 	7H	556	558	578	579.4	602
600	TR600x45	45	7e	600	598.6	577.185	576.235	553	551.497	 	7H	555	557	577.5	578.9	602
630	TR630x6	6	7e	630	629.625	626.882	626.457	623	622.351	 	7H	624	624.5	627	627.6	631
630	TR630x12	12	7e	630	629.4	623.83	623.27	617	616.13	 	7H	618	618.8	624	624.8	631
630	TR630x24	24	7e	630	629.05	617.764	617.014	604	602.827	 	7H	606	607.32	618	619	632
630	TR630x44	44	7e	630	628.6	607.685	606.735	584	582.498	 	7H	586	588	608	609.4	632
630	TR630x45	45	7e	630	628.6	607.185	606.235	583	581.497	 	7H	585	587	607.5	608.9	632
670	TR670x6	6	7e	670	669.625	666.882	666.457	663	662.351	 	7H	664	664.5	667	667.6	671
670	TR670x12	12	7e	670	669.4	663.83	663.27	657	656.13	 	7H	658	658.8	664	664.8	671
670	TR670x24	24	7e	670	669.05	657.764	657.014	644	642.827	 	7H	646	647.32	658	659	672
670	TR670x44	44	7e	670	668.6	647.685	646.735	624	622.498	 	7H	626	628	648	649.4	672
670	TR670x45	45	7e	670	668.6	647.185	646.235	623	621.497	 	7H	625	627	647.5	648.9	672
710	TR710x7	7	7e	710	709.575	706.375	705.925	702	701.313	 	7H	703	703.56	706.5	707.13	711
710	TR710x12	12	7e	710	709.4	703.83	703.27	697	696.13	 	7H	698	698.8	704	704.8	711
710	TR710x24	24	7e	710	709.05	697.764	697.014	684	682.827	 	7H	686	687.32	698	699	712
710	TR710x44	44	7e	710	708.6	687.685	686.735	664	662.498	 	7H	666	668	688	689.4	712
710	TR710x50	50	7e	710	708.55	684.68	683.68	658	656.43	 	7H	660	662.12	685	686.4	712
750	TR750x7	7	7e	750	749.575	746.375	745.9	742	741.281	 	7H	743	743.56	746.5	747.17	751
750	TR750x12	12	7e	750	749.4	743.83	743.2	737	736.043	 	7H	738	738.8	744	829	751
750	TR750x24	24	7e	750	749.05	737.764	736.964	724	722.764	 	7H	726	727.32	738	739.12	752
750	TR750x44	44	7e	750	748.6	727.685	726.625	704	702.36	 	7H	706	708	728	729.4	752
800	TR800x7	7	7e	800	799.575	796.375	795.9	792	791.281	 	7H	793	793.56	796.5	797.17	801
800	TR800x12	12	7e	800	799.4	793.83	793.2	787	786.043	 	7H	788	788.8	794	879	801
800	TR800x24	24	7e	800	799.05	787.764	786.964	774	772.764	 	7H	776	777.32	788	789.12	802
800	TR800x44	44	7e	800	798.6	777.685	776.625	754	752.36	 	7H	756	758	778	779.4	802
850	TR850x7	7	7e	850	849.575	846.375	845.9	842	841.281	 	7H	843	843.56	846.5	847.17	851
850	TR850x12	12	7e	850	849.4	843.83	843.2	837	836.043	 	7H	838	838.8	844	929	851
850	TR850x24	24	7e	850	849.05	837.764	836.964	824	822.764	 	7H	826	827.32	838	839.12	852
850	TR850x44	44	7e	850	848.6	827.685	826.625	804	802.36	 	7H	806	808	828	829.4	852
900	TR900x7	7	7e	900	899.575	896.375	895.9	892	891.281	 	7H	893	893.56	896.5	897.17	901
900	TR900x12	12	7e	900	899.4	893.83	893.2	887	886.043	 	7H	888	888.8	894	979	901
900	TR900x24	24	7e	900	899.05	887.764	886.964	874	872.764	 	7H	876	877.32	888	889.12	902
900	TR900x44	44	7e	900	898.6	877.685	876.625	854	852.36	 	7H	856	858	878	879.4	902
950	TR950x8	8	7e	950	949.55	945.868	945.368	941	940.243	 	7H	942	942.63	946	946.71	951
950	TR950x12	12	7e	950	949.4	943.83	943.2	937	936.043	 	7H	938	938.8	944	1029	951
950	TR950x24	24	7e	950	949.05	937.764	936.964	924	922.764	 	7H	926	927.32	938	939.12	952
950	TR950x44	44	7e	950	948.6	927.685	926.625	904	902.36	 	7H	906	908	928	929.4	952
1000	TR1000x8	8	7e	1000	999.55	995.868	995.368	991	990.243	 	7H	992	992.63	996	996.71	1001
1000	TR1000x12	12	7e	1000	999.4	993.83	993.2	987	986.043	 	7H	988	988.8	994	1079	1001
1000	TR1000x24	24	7e	1000	999.05	987.764	986.964	974	972.764	 	7H	976	977.32	988	989.12	1002
1000	TR1000x44	44	7e	1000	998.6	977.685	976.625	954	952.36	 	7H	956	958	978	979.4	1002
1060	TR1060x8	8	7e	1060	1059.55	1055.868	1055.368	1051	1050.243	 	7H	1052	1052.63	1056	1056.71	1061
1060	TR1060x12	12	7e	1060	1059.4	1053.83	1053.2	1047	1046.043	 	7H	1048	1048.8	1054	1139	1061
1060	TR1060x24	24	7e	1060	1059.05	1047.764	1046.964	1034	1032.764	 	7H	1036	1037.32	1048	1049.12	1062
1060	TR1060x44	44	7e	1060	1058.6	1037.685	1036.625	1014	1012.36	 	7H	1016	1018	1038	1039.4	1062
1120	TR1120x8	8	7e	1120	1119.55	1115.868	1115.368	1111	1110.243	 	7H	1112	1112.63	1116	1116.71	1121
1120	TR1120x12	12	7e	1120	1119.4	1113.83	1113.2	1107	1106.043	 	7H	1108	1108.8	1114	1199	1121
1120	TR1120x24	24	7e	1120	1119.05	1107.764	1106.964	1094	1092.764	 	7H	1096	1097.32	1108	1109.12	1122
1120	TR1120x44	44	7e	1120	1118.6	1097.685	1096.625	1074	1072.36	 	7H	1076	1078	1098	1099.4	1122
